,userID,itemID,rating,SIDO
0,e000004,화성 관광열차 안내소 연무대 매표소,3.6666666666666665,경기
1,e000004,창룡문,4.0,경기
2,e000004,수원 화성 화홍문,3.3333333333333335,경기
3,e000009,농협안성팜랜드,4.0,경기
4,e000009,스타필드 안성,5.0,경기
5,e000009,평택시 농업 생태원,5.0,경기
6,e000010,롯데월드,5.0,서울
7,e000010,롯데월드,5.0,서울
8,e000011,인사동 문화의 거리,5.0,서울
9,e000011,IFC 몰,4.0,서울
10,e000013,파주 프리미엄 아울렛,5.0,경기
11,e000013,이케아 광명점,5.0,경기
12,e000014,에버랜드,5.0,경기
13,e000015,스타필드 코엑스몰,4.333333333333333,서울
14,e000015,서울어린이대공원,4.0,서울
15,e000015,북촌 한옥마을,4.0,서울
16,e000015,낙원악기상가,2.6666666666666665,서울
17,e000016,현대 프리미엄 아울렛 김포점,4.0,경기
18,e000016,롯데몰 김포공항점,4.0,서울
19,e000020,아침고요 수목원,5.0,경기
20,e000022,허브아일랜드,4.0,경기
21,e000022,소요산,4.0,경기
22,e000023,서울 시티투어버스,3.0,서울
23,e000023,광화문광장,5.0,서울
24,e000023,경복궁,5.0,서울
25,e000039,에버랜드,5.0,경기
26,e000039,에버랜드 사파리월드,5.0,경기
27,e000039,에버랜드,5.0,경기
28,e000040,서울로 717,3.6666666666666665,서울
29,e000040,숭례문,3.6666666666666665,서울
30,e000041,화성 융릉과 건릉,4.0,경기
31,e000042,수기 해변,4.0,인천
32,e000045,마장호수,5.0,경기
33,e000046,푸른 솔 GC 포천,5.0,경기
34,e000293,예스24 스테이지,4.333333333333333,서울
35,e000294,에버랜드,5.0,경기
36,e000296,서울 장미축제,4.0,서울
37,e000299,서울시립미술관 서소문 본관,3.6666666666666665,서울
38,e000299,덕수궁 중명전,4.666666666666667,서울
39,e000299,덕수궁,5.0,서울
40,e000302,롯데월드,5.0,서울
41,e000302,도산 근린공원,4.0,서울
42,e000302,서울숲 카페거리,5.0,서울
43,e000302,서울숲,4.0,서울
44,e000307,연천 전곡리 선사유적지,2.3333333333333335,경기
45,e000307,재인폭포,5.0,경기
46,e000307,좌상 바위,5.0,경기
47,e000311,구읍뱃터,3.0,인천
48,e000317,타임스퀘어,4.333333333333333,서울
49,e000317,타임스퀘어,3.3333333333333335,서울
50,e000317,롯데백화점 영등포점,3.3333333333333335,서울
51,e000319,미리내공원,3.3333333333333335,경기
52,e000319,롯데백화점 중동점,3.3333333333333335,경기
53,e000319,부천중앙공원,3.3333333333333335,경기
54,e000319,CGV 소풍,4.333333333333333,경기
55,e000322,관악산 산림욕장,3.3333333333333335,경기
56,e000322,엔터식스 안양역점,3.3333333333333335,경기
57,e000322,한 아름공원,4.0,경기
58,e000322,미리내공원,3.3333333333333335,경기
59,e000323,화성행궁,4.333333333333333,경기
60,e000323,장안문,5.0,경기
61,e000323,효원공원 월화원,4.666666666666667,경기
62,e000323,효원공원 월화원,5.0,경기
63,e000329,프로방스 마을,4.333333333333333,경기
64,e000329,파주 프리미엄 아울렛,5.0,경기
65,e000331,아이파크몰 용산점,4.0,서울
66,e000331,롯데월드,4.333333333333333,서울
67,e000334,니지 모리 스튜디오,5.0,경기
68,e000336,63스퀘어,5.0,서울
69,e000336,더 현대 서울,5.0,서울
70,e000336,서울랜드,5.0,경기
71,e000338,리움미술관,4.666666666666667,서울
72,e000338,국립중앙박물관,5.0,서울
73,e000342,소래포구,5.0,인천
74,e000342,송도센트럴파크,5.0,인천
75,e000344,롯데월드타워 롯데월드몰,4.0,서울
76,e000344,롯데월드,4.0,서울
77,e000344,올림픽공원,4.0,서울
78,e000345,반포 한강공원,4.333333333333333,서울
79,e000345,KSPO DOME 올림픽 체조경기장,5.0,서울
80,e000346,하나개해수욕장,3.3333333333333335,인천
81,e000347,현대 프리미엄 아울렛 김포점,4.333333333333333,경기
82,e000350,부천 자연 생태공원,3.0,경기
83,e000350,CGV 소풍,3.0,경기
84,e000353,임진각 평화누리,3.6666666666666665,경기
85,e000353,헤이리 예술마을,4.0,경기
86,e000353,파주 프리미엄 아울렛,3.3333333333333335,경기
87,e000357,롯데백화점 영등포점,4.333333333333333,서울
88,e000362,오이도,4.0,경기
89,e000362,대부바다 향기테마파크,2.0,경기
90,e000364,광교역사 공원,3.3333333333333335,경기
91,e000364,행리단길,2.3333333333333335,경기
92,e000364,화성행궁,3.6666666666666665,경기
93,e000364,광교호수공원,2.6666666666666665,경기
94,e000366,현대 프리미엄 아울렛 김포점,4.0,경기
